,time,vehiclestatus,chargestatus,runmodel,speed,summileage,sumvoltage,sumcurrent,soc,dcdcstatus,gearnum,insulationresistance,max_volt_num,max_volt_cell_id,max_cell_volt,min_volt_num,min_volt_cell_id,min_cell_volt,max_temp_num,max_temp_probe_id,max_temp,min_temp_num,min_temp_probe_id,min_temp,power,distince,distance
69,01-10 01,1,3,1,0.0,39938.0,395.7,0.8,99,1,15,5155,1,76,4.128,1,38,4.114,1,17,6,1,24,5,316.56,0.0,0.0
70,01-10 01,1,3,1,0.0,39938.0,395.7,0.8,99,1,15,5155,1,76,4.128,1,38,4.113,1,17,6,1,24,5,316.56,0.0,0.0
71,01-10 01,1,3,1,0.0,39938.0,395.5,1.2,99,1,15,5160,1,76,4.126,1,63,4.107,1,17,6,1,24,5,474.59999999999997,0.0,0.0
72,01-10 01,1,3,1,0.0,39938.0,395.7,1.3,99,1,15,5160,1,76,4.127,1,63,4.1110000000000015,1,17,6,1,24,5,514.41,0.0,0.0
73,01-10 01,1,3,1,0.0,39938.0,395.7,1.3,99,1,15,5220,1,76,4.125,1,63,4.1080000000000005,1,17,6,1,24,5,514.41,0.0,0.0
74,01-10 01,1,3,1,0.0,39938.0,395.5,19.7,99,1,15,5220,1,76,4.126,1,8,4.112,1,17,6,1,24,5,7791.349999999999,0.0,0.0
75,01-10 01,1,3,1,0.0,39938.0,395.5,1.5,99,1,15,5200,1,76,4.126,1,8,4.11,1,17,6,1,24,5,593.25,0.0,0.0
76,01-10 01,1,3,1,0.0,39938.0,394.7,8.6,99,1,15,5200,1,76,4.126,1,8,4.1080000000000005,1,17,6,1,24,5,3394.4199999999996,0.0,0.0
77,01-10 01,1,3,1,0.0,39938.0,394.7,0.8,99,1,15,5155,1,76,4.126,1,8,4.107,1,17,6,1,24,5,315.76,0.0,0.0
78,01-10 01,1,3,1,0.0,39938.0,395.7,18.7,99,1,15,5155,1,76,4.125,1,8,4.107,1,17,6,1,24,5,7399.589999999999,0.0,0.0
79,01-10 01,1,3,1,0.0,39938.0,395.5,0.8,99,1,15,5160,1,76,4.126,1,8,4.1110000000000015,1,17,6,1,24,5,316.40000000000003,0.0,0.0
80,01-10 01,1,3,1,0.0,39938.0,395.5,9.9,99,1,15,5160,1,76,4.125,1,8,4.11,1,17,6,1,24,5,3915.4500000000003,0.0,0.0
81,01-10 01,1,3,1,0.0,39938.0,394.5,18.6,99,1,15,5160,1,76,4.125,1,8,4.1110000000000015,1,17,6,1,24,5,7337.700000000001,0.0,0.0
82,01-10 01,1,3,1,0.0,39938.0,394.5,18.8,99,1,15,5225,1,76,4.124,1,72,4.109,1,17,6,1,24,5,7416.6,0.0,0.0
83,01-10 01,1,3,1,0.0,39938.0,394.5,1.3,99,1,15,5225,1,76,4.125,1,72,4.105,1,17,6,1,24,5,512.85,0.0,0.0
84,01-10 01,1,3,1,0.0,39938.0,394.7,2.8,99,1,15,5225,1,76,4.125,1,72,4.104,1,17,6,1,24,5,1105.1599999999999,0.0,0.0
85,01-10 01,1,3,1,0.0,39938.0,395.5,16.5,99,1,15,5205,1,76,4.124,1,32,4.1080000000000005,1,17,6,1,24,5,6525.75,0.0,0.0
86,01-10 01,1,3,1,0.0,39938.0,395.5,0.8,99,1,15,5205,1,76,4.124,1,32,4.109,1,17,6,1,24,5,316.40000000000003,0.0,0.0
87,01-10 01,1,3,1,0.0,39938.0,395.5,1.3,99,1,15,5157,1,76,4.124,1,32,4.109,1,17,6,1,24,5,514.15,0.0,0.0
88,01-10 01,1,3,1,0.0,39938.0,395.2,12.9,99,1,0,5157,1,76,4.124,1,32,4.1080000000000005,1,17,6,1,24,5,5098.08,0.0,0.0
89,01-10 01,1,3,1,2.8,39938.0,393.7,11.1,99,1,14,5150,1,17,4.117,1,32,4.097,1,17,6,1,24,5,4370.07,0.0,0.0
90,01-10 01,1,3,1,0.0,39938.0,394.2,1.8,99,1,14,5150,1,17,4.122,1,32,4.104,1,17,6,1,24,5,709.56,0.0,0.0
91,01-10 01,1,3,1,2.2,39938.0,394.0,23.9,99,1,13,5172,1,17,4.119,1,32,4.103,1,17,6,1,24,5,9416.599999999999,0.0,0.0
92,01-10 01,1,3,1,7.0,39938.0,395.2,3.1,99,1,14,5172,1,17,4.12,1,32,4.104,1,17,6,1,24,5,1225.12,0.0,0.0
93,01-10 01,1,3,1,0.0,39938.0,395.2,2.2,99,1,14,5212,1,17,4.119,1,75,4.102,1,17,6,1,24,5,869.44,0.0,0.0
94,01-10 01,1,3,1,0.0,39938.0,395.2,15.3,99,1,15,5212,1,17,4.12,1,75,4.102,1,17,6,1,24,5,6046.56,0.0,0.0
95,01-10 01,1,3,1,0.0,39938.0,395.2,1.0,99,1,15,5155,1,17,4.122,1,75,4.101,1,17,6,1,24,5,395.2,0.0,0.0
96,01-10 01,1,3,1,0.0,39938.0,395.2,5.8,99,1,15,5155,1,76,4.12,1,96,4.107,1,17,6,1,24,5,2292.16,0.0,0.0
97,01-10 01,1,3,1,0.0,39938.0,395.0,0.9,99,1,15,5157,1,76,4.12,1,96,4.101,1,17,6,1,24,5,355.5,0.0,0.0
98,01-10 01,1,3,1,0.0,39938.0,395.0,1.4,99,1,15,5157,1,76,4.12,1,96,4.1,1,17,6,1,24,5,553.0,0.0,0.0
99,01-10 01,1,3,1,0.0,39938.0,395.0,7.7,99,1,15,5157,1,76,4.12,1,96,4.104,1,17,6,1,24,5,3041.5,0.0,0.0
100,01-10 01,1,3,1,0.0,39938.0,394.5,1.4,99,1,15,5225,1,17,4.12,1,75,4.104,1,17,6,1,24,5,552.3,0.0,0.0
101,01-10 01,1,3,1,0.0,39938.0,394.0,20.4,99,1,15,5225,1,17,4.12,1,75,4.102,1,17,6,1,24,5,8037.599999999999,0.0,0.0
102,01-10 01,1,3,1,0.0,39938.0,394.5,1.5,99,1,15,5225,1,17,4.119,1,75,4.103,1,17,6,1,24,5,591.75,0.0,0.0
103,01-10 01,1,3,1,0.0,39938.0,395.2,0.9,99,1,15,5210,1,17,4.119,1,75,4.105,1,17,6,1,24,5,355.68,0.0,0.0
104,01-10 01,1,3,1,0.0,39938.0,394.0,0.9,99,1,15,5210,1,45,4.119,1,32,4.102,1,17,6,1,24,5,354.6,0.0,0.0
